,pickup_zone,drop_zone
20481,Queensbridge/Ravenswood,Prospect-Lefferts Gardens
20496,Hamilton Heights,Penn Station/Madison Sq West
20530,Williamsbridge/Olinville,Williamsbridge/Olinville
20537,Morningside Heights,Spuyten Duyvil/Kingsbridge
20547,Steinway,Yorkville East
20568,Boerum Hill,Little Italy/NoLiTa
20572,North Corona,Jamaica Estates
20576,College Point,Corona
20590,Park Slope,Brooklyn Navy Yard
20600,Prospect-Lefferts Gardens,Prospect-Lefferts Gardens
20622,Auburndale,Flushing
20624,Central Park,Elmhurst
20628,Forest Hills,Sutton Place/Turtle Bay North
20643,Cobble Hill,Greenwich Village North
20646,Old Astoria,Downtown Brooklyn/MetroTech
20664,Kew Gardens,Ridgewood
20665,Boerum Hill,Flatbush/Ditmas Park
20666,Jackson Heights,Jamaica
20670,Manhattanville,Central Park
20690,Highbridge Park,Chinatown
20709,Middle Village,Boerum Hill
20716,Longwood,East Concourse/Concourse Village
20730,Van Cortlandt Park,Washington Heights North
20751,Hillcrest/Pomonok,East Flatbush/Farragut
20774,Washington Heights South,Old Astoria
20787,Fort Greene,Brighton Beach
20789,Kensington,Borough Park
20793,Brooklyn Heights,East New York/Pennsylvania Avenue
20797,Downtown Brooklyn/MetroTech,Little Italy/NoLiTa
20800,Stuyvesant Heights,Brownsville
20805,South Williamsburg,South Williamsburg
20819,Washington Heights South,Williamsburg (South Side)
20820,Washington Heights North,Lincoln Square East
20836,Flushing,Richmond Hill
20840,Fort Greene,Saint Albans
20846,Kew Gardens,Rego Park
20857,Washington Heights South,Hunts Point
20858,Jamaica,Old Astoria
20869,Erasmus,Canarsie
20871,Hammels/Arverne,Hammels/Arverne
20873,Astoria,Financial District South
20889,Fort Greene,World Trade Center
20892,Crown Heights North,Marine Park/Mill Basin
20907,Central Park,Bay Ridge
20924,Manhattanville,Woodlawn/Wakefield
20939,Clinton Hill,Canarsie
20940,Bayside,Hillcrest/Pomonok
20941,West Concourse,Lenox Hill East
20958,Rego Park,Cypress Hills
20972,LaGuardia Airport,Steinway
20980,Jackson Heights,South Williamsburg
21003,Boerum Hill,Chinatown
21039,Washington Heights North,Lincoln Square West
21055,Soundview/Castle Hill,East Harlem South
21062,Elmhurst/Maspeth,Steinway
21078,Bloomingdale,Midtown Center
21087,Forest Hills,East New York
21091,Boerum Hill,Washington Heights North
21100,Central Harlem,Greenwich Village South
21107,Astoria,Bay Ridge
21111,Yorkville West,Greenwich Village South
21113,Central Harlem,Belmont
21115,Brooklyn Navy Yard,Clinton Hill
21119,Mount Hope,Van Nest/Morris Park
21175,Briarwood/Jamaica Hills,Elmhurst
21184,Longwood,Van Cortlandt Village
21185,Erasmus,JFK Airport
21194,Maspeth,Flushing
21210,Windsor Terrace,Windsor Terrace
21232,Downtown Brooklyn/MetroTech,Lenox Hill East
21250,DUMBO/Vinegar Hill,Elmhurst
21255,Central Harlem,Spuyten Duyvil/Kingsbridge
21258,Fort Greene,Kensington
21267,Long Island City/Queens Plaza,Murray Hill
21268,Crown Heights South,Flatiron
21316,Coney Island,East New York
21330,Sunset Park West,Forest Hills
21353,Long Island City/Hunters Point,Roosevelt Island
21364,Van Nest/Morris Park,Schuylerville/Edgewater Park
21366,Queens Village,Saint Albans
21399,Norwood,Highbridge
21415,Long Island City/Hunters Point,JFK Airport
21421,Hillcrest/Pomonok,East Harlem South
21426,Jackson Heights,East Flushing
21444,East Harlem South,Van Cortlandt Park
21467,Richmond Hill,Homecrest
21473,Kew Gardens,Bellerose
21492,Queensbridge/Ravenswood,Elmhurst
21591,Downtown Brooklyn/MetroTech,Yorkville West
21599,Central Park,Inwood
21619,East Harlem South,Norwood
21620,East Harlem North,Financial District North
21646,Downtown Brooklyn/MetroTech,Greenpoint
21658,Jamaica,North Corona
21690,Bloomingdale,Washington Heights South
21692,Cobble Hill,West Chelsea/Hudson Yards
21715,Soundview/Bruckner,LaGuardia Airport
21746,Washington Heights South,Midtown South
21748,Midwood,LaGuardia Airport
21761,Fordham South,West Concourse
21765,Greenpoint,Lenox Hill West
21776,Long Island City/Hunters Point,East Harlem South
21829,DUMBO/Vinegar Hill,Bloomingdale
21899,Fort Greene,East Chelsea
21904,Long Island City/Queens Plaza,Sutton Place/Turtle Bay North
21916,Cobble Hill,Astoria
21930,Carroll Gardens,Upper West Side South
21934,Boerum Hill,Bensonhurst East
21938,Fort Greene,Gramercy
21946,Riverdale/North Riverdale/Fieldston,Riverdale/North Riverdale/Fieldston
21981,Hunts Point,Yorkville East
22003,Belmont,University Heights/Morris Heights
22012,DUMBO/Vinegar Hill,Battery Park City
22047,Greenpoint,West Village
22057,Boerum Hill,Old Astoria
22064,Park Slope,Manhattan Valley
22065,Williamsburg (North Side),Murray Hill
22069,Melrose South,Manhattan Valley
22079,Mott Haven/Port Morris,Morningside Heights
22082,Park Slope,Astoria
22083,East Concourse/Concourse Village,Washington Heights North
22096,Williamsburg (North Side),Financial District North
22103,Kingsbridge Heights,Inwood
22108,Sheepshead Bay,Rockaway Park
22109,Old Astoria,Upper West Side North
22118,Woodside,West Village
22126,Yorkville West,Alphabet City
22132,Steinway,East Chelsea
22142,Yorkville West,Central Harlem North
22145,Greenpoint,Upper West Side South
22159,Williamsburg (North Side),Alphabet City
22167,Williamsburg (South Side),Columbia Street
22170,Ozone Park,Jackson Heights
22175,Woodhaven,Cypress Hills
22183,Bushwick North,Williamsburg (South Side)
22184,Bushwick North,Astoria
22186,Sunnyside,Marine Park/Mill Basin
22189,Flushing,Woodside
22194,East Williamsburg,Midtown East
22199,Williamsburg (South Side),Cypress Hills
22201,Hamilton Heights,Battery Park City
22230,Sunnyside,Morningside Heights
22233,Central Harlem,Park Slope
22278,Eastchester,Eastchester
22312,Astoria,College Point
22313,College Point,Elmhurst/Maspeth
22321,Elmhurst,Murray Hill-Queens
22343,Manhattanville,Mott Haven/Port Morris
22362,Boerum Hill,Lincoln Square East
22380,Windsor Terrace,Central Park
22385,Rego Park,Murray Hill
22387,Steinway,UN/Turtle Bay South
22394,JFK Airport,Borough Park
22398,Canarsie,Brownsville
22423,Bensonhurst East,Flatbush/Ditmas Park
22431,East Harlem South,Soundview/Castle Hill
22444,Washington Heights North,Highbridge
22447,Cypress Hills,Brooklyn Heights
22477,University Heights/Morris Heights,Washington Heights South
22478,Jackson Heights,Yorkville East
22485,Briarwood/Jamaica Hills,Fort Greene
22492,Yorkville West,East Village
22508,Manhattanville,Lower East Side
22515,Jamaica,Cypress Hills
22517,Inwood,Clinton West
22544,Downtown Brooklyn/MetroTech,Manhattan Beach
22581,Crotona Park East,Mount Hope
22668,Flatbush/Ditmas Park,Sheepshead Bay
22672,Forest Hills,Penn Station/Madison Sq West
22807,East Harlem South,Riverdale/North Riverdale/Fieldston
22821,Central Harlem North,Lower East Side
22831,DUMBO/Vinegar Hill,Brooklyn Navy Yard
22840,Soundview/Bruckner,East Harlem South
22844,Rosedale,Richmond Hill
22849,Williamsburg (South Side),UN/Turtle Bay South
22863,Steinway,Bedford
22879,Forest Hills,Homecrest
22891,Hamilton Heights,Midtown North
22903,Forest Hills,Saint Michaels Cemetery/Woodside
22911,Central Harlem,Stuy Town/Peter Cooper Village
22918,Park Slope,LaGuardia Airport
22940,Kew Gardens,Cypress Hills
22953,Elmhurst/Maspeth,Hillcrest/Pomonok
22966,Carroll Gardens,TriBeCa/Civic Center
22991,Central Harlem North,Seaport
22998,Gravesend,Elmhurst
23041,West Farms/Bronx River,Mount Hope
23049,Old Astoria,Midwood
23053,Elmhurst,Queensboro Hill
23059,Forest Hills,Kensington
23063,Old Astoria,Midtown Center
23068,Inwood,Kingsbridge Heights
23106,Rego Park,Prospect Park
23122,East Harlem North,Clinton West
23131,Kensington,Fort Greene
23185,Boerum Hill,JFK Airport
23208,Morningside Heights,Melrose South
23217,Fordham South,East Harlem South
23219,Van Nest/Morris Park,Pelham Bay
23229,Soundview/Bruckner,Eastchester
23241,Soundview/Bruckner,Pelham Parkway
23332,Kew Gardens,Corona
23351,Boerum Hill,Bushwick North
23365,Prospect Park,Midtown Center
23392,Downtown Brooklyn/MetroTech,Howard Beach
23396,Kew Gardens,Flushing Meadows-Corona Park
23432,Glendale,Rego Park
23439,Mott Haven/Port Morris,Upper West Side North
23447,Rego Park,East Flatbush/Farragut
23458,Astoria,East Concourse/Concourse Village
23513,Forest Hills,Cypress Hills
23515,East Harlem South,Eastchester
23534,East Tremont,Norwood
23554,Central Harlem North,Allerton/Pelham Gardens
23565,East Harlem South,South Beach/Dongan Hills
23569,Prospect-Lefferts Gardens,East New York
23576,Downtown Brooklyn/MetroTech,Brownsville
23584,Astoria,Brooklyn Heights
23614,Mott Haven/Port Morris,Van Cortlandt Village
23616,Astoria,Sunset Park West
23638,Downtown Brooklyn/MetroTech,Greenwich Village North
23643,Yorkville West,Central Park
23651,Hunts Point,Claremont/Bathgate
23652,Hunts Point,East Tremont
23655,Flatbush/Ditmas Park,Flatlands
23671,Williamsburg (South Side),Greenpoint
23674,Claremont/Bathgate,Williamsbridge/Olinville
23689,Pelham Parkway,Van Nest/Morris Park
23711,Woodside,Briarwood/Jamaica Hills
23722,Morningside Heights,Sunnyside
23737,Central Harlem,Highbridge Park
23745,Prospect Heights,Windsor Terrace
23748,Sunnyside,East Elmhurst
23760,East Concourse/Concourse Village,JFK Airport
23769,Auburndale,Murray Hill-Queens
23809,Soundview/Bruckner,Morrisania/Melrose
23813,Co-Op City,Allerton/Pelham Gardens
23817,Forest Hills,Crown Heights South
23821,Carroll Gardens,Stuyvesant Heights
23834,Prospect Heights,East Williamsburg
23861,East Harlem South,Ocean Hill
23864,Crown Heights North,Kew Gardens
23883,Pelham Bay,Norwood
23926,Crown Heights North,East Williamsburg
23939,Van Cortlandt Village,Morrisania/Melrose
23946,Hamilton Heights,Stuy Town/Peter Cooper Village
23947,Carroll Gardens,Prospect-Lefferts Gardens
23976,DUMBO/Vinegar Hill,Kips Bay
23991,Steinway,East Williamsburg
24007,Washington Heights North,Claremont/Bathgate
24021,Kew Gardens Hills,Kew Gardens Hills
24057,Elmhurst,Bloomingdale
24066,East New York,Bedford
24072,Kew Gardens,Hudson Sq
24075,Bedford Park,Soundview/Bruckner
24106,DUMBO/Vinegar Hill,Flatiron
24109,Mott Haven/Port Morris,Lenox Hill East
24114,South Jamaica,Baisley Park
24131,Williamsburg (South Side),Williamsburg (South Side)
24150,Boerum Hill,Kips Bay
24151,Williamsburg (North Side),Little Italy/NoLiTa
24165,Melrose South,Washington Heights North
24193,Washington Heights North,Norwood
24204,Forest Hills,East Village
24207,Sunnyside,Lincoln Square East
24225,Williamsburg (South Side),Meatpacking/West Village West
24229,Parkchester,Parkchester
24236,Melrose South,Riverdale/North Riverdale/Fieldston
24256,Bushwick North,Bedford
24274,Bushwick South,Williamsburg (South Side)
24280,East Williamsburg,Stuyvesant Heights
24283,Bushwick North,Ridgewood
24285,Greenpoint,Gramercy
24287,Bedford,UN/Turtle Bay South
24290,Stuyvesant Heights,Williamsburg (North Side)
24292,Bushwick North,East Williamsburg
24294,Williamsburg (South Side),Sutton Place/Turtle Bay North
24298,Elmhurst/Maspeth,Long Island City/Hunters Point
24299,Jackson Heights,Washington Heights South
24309,Bushwick North,Stuyvesant Heights
24336,Ridgewood,Long Island City/Hunters Point
24353,Manhattanville,Sutton Place/Turtle Bay North
24367,Long Island City/Queens Plaza,Lenox Hill East
24375,Hamilton Heights,West Village
24377,Woodside,Cypress Hills
24381,Richmond Hill,Hollis
24393,Bushwick South,Crown Heights North
24394,College Point,Long Island City/Hunters Point
24432,Long Island City/Queens Plaza,Lincoln Square West
24471,LaGuardia Airport,East Tremont
24476,Astoria,Garment District
24477,Inwood,Upper West Side South
24478,Briarwood/Jamaica Hills,Forest Hills
24479,Central Harlem,Little Italy/NoLiTa
24495,Inwood,Spuyten Duyvil/Kingsbridge
24497,Elmhurst,Upper East Side North
24520,Norwood,East Concourse/Concourse Village
24530,Central Harlem,Prospect Park
24538,Soundview/Bruckner,Yorkville West
24539,Rego Park,Union Sq
24540,East Harlem North,Long Island City/Queens Plaza
24569,Old Astoria,Lincoln Square East
24621,Kew Gardens,Laurelton
24630,Bellerose,JFK Airport
24665,Middle Village,South Ozone Park
24677,Brooklyn Heights,Meatpacking/West Village West
24689,Central Harlem,Corona
24694,East Harlem North,Pelham Parkway
24696,Central Harlem North,Brooklyn Heights
24717,Astoria,Jamaica
24775,Central Harlem North,Norwood
24791,East Harlem South,DUMBO/Vinegar Hill
24792,East Concourse/Concourse Village,Yorkville East
24810,East Harlem North,Roosevelt Island
24819,Brooklyn Heights,Lincoln Square West
24825,Parkchester,Washington Heights South
24838,Central Park,Lower East Side
24855,Kingsbridge Heights,Spuyten Duyvil/Kingsbridge
24856,Jamaica,Williamsburg (South Side)
24913,Astoria,Bensonhurst West
24928,Fort Greene,JFK Airport
24946,Upper East Side North,East Chelsea
24954,Inwood,Lincoln Square West
24959,Bedford,Union Sq
24987,Queensbridge/Ravenswood,Lincoln Square East
25005,East Flushing,East Flushing
25009,Claremont/Bathgate,Crotona Park East
25022,West Farms/Bronx River,Fordham South
25084,Mott Haven/Port Morris,Stuy Town/Peter Cooper Village
25111,West Concourse,East Tremont
25133,Queensboro Hill,DUMBO/Vinegar Hill
25135,Belmont,Eastchester
25162,Astoria,Williamsburg (South Side)
25224,Jamaica,Murray Hill
25232,Boerum Hill,Yorkville West
25235,Ridgewood,World Trade Center
25281,Jackson Heights,Greenwich Village South
25320,Woodside,Alphabet City
25328,East Tremont,Mount Hope
25329,Astoria,Flatiron
25338,Prospect Heights,Crown Heights North
25342,Jamaica,Bayside
25350,Brighton Beach,Sunset Park West
25363,Clinton Hill,Columbia Street
25397,Stuyvesant Heights,Bushwick South
25401,Central Harlem,Lower East Side
25436,Middle Village,Flatbush/Ditmas Park
25443,Mott Haven/Port Morris,West Concourse
25496,Belmont,Pelham Bay
25532,Central Harlem,Flatbush/Ditmas Park
25553,Park Slope,UN/Turtle Bay South
25554,Manhattan Beach,Sunset Park East
25561,Belmont,Mott Haven/Port Morris
25568,Gowanus,World Trade Center
25577,Cobble Hill,Ocean Parkway South
25608,Park Slope,Clinton East
25634,Bushwick South,Ridgewood
25639,Soundview/Bruckner,Central Harlem North
25650,East Williamsburg,Bedford
25651,Boerum Hill,East Harlem North
25681,Prospect Heights,Alphabet City
25683,Williamsburg (North Side),Lower East Side
25692,Prospect Heights,Crown Heights South
25695,Park Slope,Richmond Hill
25704,Park Slope,Kew Gardens
25705,East Concourse/Concourse Village,Crotona Park East
25715,Morrisania/Melrose,Highbridge
25724,Old Astoria,Elmhurst
25727,Williamsburg (South Side),Seaport
25744,Mott Haven/Port Morris,Lincoln Square West
25745,Fort Greene,Sutton Place/Turtle Bay North
25747,Clinton Hill,Upper West Side South
25752,Jamaica,Ocean Hill
25753,Jamaica,Bellerose
25791,Woodside,Flatiron
25793,Washington Heights South,Two Bridges/Seward Park
25817,Crown Heights North,Woodside
25818,Maspeth,Times Sq/Theatre District
25823,Maspeth,Bushwick North
25841,Maspeth,East Williamsburg
25844,Old Astoria,Woodside
25847,Maspeth,Stuyvesant Heights
25858,Highbridge,University Heights/Morris Heights
25860,Maspeth,Two Bridges/Seward Park
25865,Bushwick North,Gramercy
25866,Jackson Heights,Clinton East
25871,Corona,Kew Gardens
25878,Sunnyside,East Village
25883,Hamilton Heights,Spuyten Duyvil/Kingsbridge
25891,Maspeth,East Chelsea
25930,Kew Gardens,Hollis
25940,Elmhurst,Gramercy
25947,Rosedale,Rosedale
25968,Hamilton Heights,JFK Airport
25990,Inwood,University Heights/Morris Heights
25998,Coney Island,South Ozone Park
26008,Bedford Park,Morrisania/Melrose
26011,Boerum Hill,Prospect Park
26012,Woodside,Midtown South
26014,Morningside Heights,Astoria
26024,Astoria,Briarwood/Jamaica Hills
26029,Kew Gardens Hills,Jamaica
26092,Fort Greene,West Village
26119,East Harlem North,Williamsburg (South Side)
26120,Inwood,Times Sq/Theatre District
26144,Woodlawn/Wakefield,Hunts Point
26193,Van Cortlandt Village,West Concourse
26194,East Harlem North,Bedford
26241,Rego Park,Steinway
26258,Steinway,Midtown Center
26269,Rego Park,Whitestone
26292,Spuyten Duyvil/Kingsbridge,Spuyten Duyvil/Kingsbridge
26312,Cobble Hill,East Williamsburg
26341,Jamaica,Brooklyn Heights
26360,Jamaica Estates,Murray Hill-Queens
26431,Long Island City/Queens Plaza,Penn Station/Madison Sq West
26448,Long Island City/Queens Plaza,Upper West Side North
26454,East Tremont,East Williamsburg
26462,Jamaica,Central Harlem North
26493,Sunset Park West,Downtown Brooklyn/MetroTech
26500,Longwood,Hunts Point
26502,Claremont/Bathgate,Morrisania/Melrose
26505,Steinway,Lenox Hill West
26509,East Harlem South,Crown Heights North
26537,Astoria,Downtown Brooklyn/MetroTech
26538,Fort Greene,Central Harlem North
26542,Bellerose,Jamaica
26607,Yorkville West,Yorkville East
26615,Parkchester,Westchester Village/Unionport
26678,Jamaica,Stuyvesant Heights
26706,Park Slope,Ridgewood
26717,Rego Park,Queensbridge/Ravenswood
26719,Queensbridge/Ravenswood,Greenpoint
26733,Roosevelt Island,Elmhurst
26739,Downtown Brooklyn/MetroTech,West Village
26760,Astoria,Bay Terrace/Fort Totten
26767,Jackson Heights,Kew Gardens Hills
26771,Jamaica,Steinway
26803,Astoria,Bayside
26843,West Concourse,Eastchester
26866,Washington Heights South,Claremont/Bathgate
26897,Fordham South,Mott Haven/Port Morris
26920,DUMBO/Vinegar Hill,Erasmus
26928,University Heights/Morris Heights,Morrisania/Melrose
26955,East Concourse/Concourse Village,Morrisania/Melrose
26985,Erasmus,Eastchester
27001,Central Harlem North,Kew Gardens Hills
27009,Manhattanville,Greenwich Village South
27016,Schuylerville/Edgewater Park,Soundview/Bruckner
27025,Van Nest/Morris Park,East Tremont
27048,Soundview/Bruckner,Bedford Park
27061,Kensington,Jackson Heights
27071,Pelham Parkway,Parkchester
27073,Jackson Heights,Stuyvesant Heights
27077,Fordham South,Belmont
27087,Morrisania/Melrose,Westchester Village/Unionport
27101,Upper East Side North,Steinway
27103,Hamilton Heights,South Ozone Park
27105,Corona,Flushing
27110,West Farms/Bronx River,Parkchester
27111,Soundview/Bruckner,Claremont/Bathgate
27114,Maspeth,Midtown East
27117,Williamsburg (South Side),JFK Airport
27118,North Corona,Cypress Hills
27130,Manhattanville,Lenox Hill East
27135,Van Nest/Morris Park,Morrisania/Melrose
27145,Kew Gardens,Sunnyside
27159,East New York,Jamaica
27169,Long Island City/Queens Plaza,Times Sq/Theatre District
